id,archive_file,raw_category,app_category,filename,media_type,is_reel,is_story,width,height,resolution,duration_seconds,file_size_bytes,file_size_kb,title,caption,hashtags,audience_age_group,is_safe,moderation_status,safety_score,adult_score,app_destination_tab,safety_reason
1,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 204630.png,IMAGE,False,False,295,568,295x568,,226936,221.6,RESTRICTED: Adult dating chat / explicit solicitation screenshot,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Adult dating chat / explicit solicitation screenshot) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
2,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 204639.png,IMAGE,False,False,287,407,287x407,,194339,189.8,RESTRICTED: Inappropriate / Adult content flagged during safety inspection,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Inappropriate / Adult content flagged during safety inspection) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
3,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 204731.png,IMAGE,False,False,280,412,280x412,,210498,205.6,RESTRICTED: Inappropriate / Adult content flagged during safety inspection,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Inappropriate / Adult content flagged during safety inspection) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
4,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 204737.png,IMAGE,False,False,286,216,286x216,,91390,89.2,RESTRICTED: Inappropriate / Adult content flagged during safety inspection,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Inappropriate / Adult content flagged during safety inspection) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
5,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 204744.png,IMAGE,False,False,257,175,257x175,,68677,67.1,RESTRICTED: Gambling / adult monetization banner advertisement,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Gambling / adult monetization banner advertisement) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
6,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 204823.png,IMAGE,False,False,280,207,280x207,,92628,90.5,RESTRICTED: NSFW adult forum thread screenshot,[FLAGGED BY LITTLENET AI GUARDIAN] This media (NSFW adult forum thread screenshot) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
7,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 205230.png,IMAGE,False,False,247,180,247x180,,103185,100.8,RESTRICTED: Inappropriate provocative selfie / adult platform content,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Inappropriate provocative selfie / adult platform content) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
8,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 205243.png,IMAGE,False,False,265,496,265x496,,115771,113.1,RESTRICTED: Restricted age-verification gate bypass / adult site screen,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Restricted age-verification gate bypass / adult site screen) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
9,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 205313.png,IMAGE,False,False,278,423,278x423,,146113,142.7,RESTRICTED: Unfiltered adult social media feed / provocative media,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Unfiltered adult social media feed / provocative media) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
10,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 205326.png,IMAGE,False,False,263,443,263x443,,208602,203.7,RESTRICTED: Explicit caption / adult dating message preview,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Explicit caption / adult dating message preview) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
11,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 205340.png,IMAGE,False,False,288,446,288x446,,166066,162.2,RESTRICTED: Adult video portal screenshot / NSFW preview grid,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Adult video portal screenshot / NSFW preview grid) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
12,18+images.zip,18+images,Restricted / Adult (Violation),Screenshot 2026-09-07 205352.png,IMAGE,False,False,258,343,258x343,,169155,165.2,RESTRICTED: Inappropriate adult content notification screenshot,[FLAGGED BY LITTLENET AI GUARDIAN] This media (Inappropriate adult content notification screenshot) violates LittleNet Child Safety Guidelines and COPPA standards. Content is strictly quarantined.,#SafetyViolation #ModerationBenchmark #BlockedContent #LittleNetGuardian #COPPAProtected,18+,False,BLOCKED,0.02,0.98,Quarantine / AI Moderation Test Suite,"Contains explicit, adult, or suggestive themes strictly prohibited for child platform"
13,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011100_156.mp4,VIDEO,True,False,1080,1920,1080x1920,12.4,2959988,2890.6,Playful Golden Retriever Pup,"Meet this energetic golden pup! Did you know a dog's sense of smell is up to 100,000 times more sensitive than humans? Watch him explore the backyard with joy!",#GoldenRetriever #PuppyLove #CuteAnimals #DogLife #LittleNetPets,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
14,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011102_652.mp4,VIDEO,True,False,720,1280,720x1280,16.2,4303563,4202.7,Curious Kitten First Steps,This tiny kitten is discovering the world for the first time! Kittens sleep around 18 hours a day to help their brains grow strong. So sweet!,#KittenLife #CatLovers #CutePets #BabyAnimals #LittleNetKids,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
15,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011148_456.mp4,VIDEO,True,False,1080,1920,1080x1920,9.4,4065888,3970.6,Gentle Giant Elephant Splash,"Splish splash! Elephants love taking cool water baths on warm afternoons. Their trunks have over 40,000 muscles to drink, spray, and play!",#ElephantLove #WildlifeLovers #JungleAnimals #NatureKids #LittleNetExplorer,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
16,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011128_815.mp4,VIDEO,True,False,1080,1920,1080x1920,14.5,7635163,7456.2,Giant Panda Munching Bamboo,A giant panda can eat bamboo for up to 12 hours every day! Watch this adorable panda crunch away peacefully in the sanctuary.,#GiantPanda #PandaLover #WildLife #BambooMunch #CuteAnimals,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
17,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011444_244.mp4,VIDEO,True,False,1080,1920,1080x1920,29.4,6450959,6299.8,Playful Otter Slide,River otters love sliding down muddy banks into cool water. Playtime helps young otters build survival skills and bond with family!,#Otters #RiverWildlife #PlayfulAnimals #NatureReel #LittleNetFauna,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
18,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011412_670.mp4,VIDEO,True,False,1080,1920,1080x1920,13.7,6883876,6722.5,Fluffy Bunny Hop,"When bunnies are happy, they do a joyful leap called a binky! Watch this little bunny do high hops across the green meadow grass.",#BunnyHop #RabbitLove #CutePets #FurryFriends #LittleNetAnimals,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
19,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011411_890.mp4,VIDEO,True,False,1080,1920,1080x1920,13.1,3118125,3045.0,Chirpy Parakeet Greetings,This colorful feathered buddy loves to greet everyone with a friendly chirp. Birds communicate using complex songs and bright feather displays!,#PetBird #Parakeet #ColorfulFeathers #BirdWatch #LittleNetNature,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
20,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011317_466.mp4,VIDEO,True,False,1080,1920,1080x1920,14.6,6252062,6105.5,Red Panda Climbing Adventure,"Red pandas use their long, bushy tails for balance in the high treetops and as a warm blanket during chilly nights. Look at those paws!",#RedPanda #TreeClimbers #AdorableWildlife #EndangeredSpecies #ZooKids,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
21,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011518_921.mp4,VIDEO,True,False,1080,1920,1080x1920,10.4,3522895,3440.3,Dolphin Pod Surfing Waves,Dolphins use echolocation to navigate underwater caves and click friendly messages to pod members. Riding the ocean waves is pure dolphin joy!,#OceanLife #DolphinPod #MarineBiology #SeaCreatures #LittleNetWaves,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
22,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011616_077.mp4,VIDEO,True,False,1080,1920,1080x1920,12.4,5021784,4904.1,Koala Naptime in the Eucalyptus,"Eucalyptus leaves make koalas sleepy, which is why they rest up to 20 hours a day in the safety of tall gum tree branches. Shhh, naptime!",#KoalaBear #AustraliaWildlife #SleepyPaws #AnimalFacts #LittleNetWorld,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
23,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011651_972.mp4,VIDEO,True,False,1080,1920,1080x1920,10.6,2214349,2162.5,Meerkat Lookout Duty,Teamwork makes the dream work in the desert! One meerkat always stands tall on guard duty while the rest of the mob searches for tasty snacks.,#Meerkats #DesertWildlife #TeamworkInNature #Sentinels #AnimalKingdom,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
24,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011705_372.mp4,VIDEO,True,False,1080,1920,1080x1920,34.7,22004594,21488.9,Playful Seal Water Acrobatics,Seals have sleek bodies and powerful flippers that let them glide through chilly ocean waters effortlessly. Watch this graceful underwater spin!,#OceanSeals #UnderwaterWonder #SeaLife #MarineAdventures #WaterPlay,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
25,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011801_220.mp4,VIDEO,True,False,1080,1920,1080x1920,18.4,10779180,10526.5,Lion Cub Wrestling Practice,"Even future kings of the savannah start small! Lion cubs love wrestling with their siblings to build agility, strength, and quick reflexes.",#LionCub #SafariLife #SavannahWildlife #Playtime #WildCats,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
26,Member3Animals.zip,Member3Animals,Nature,VID_20260905_012109_600.mp4,VIDEO,True,False,1080,1920,1080x1920,14.3,4906220,4791.2,Curious Raccoon Paw Snack,Raccoons have super-sensitive front paws with dexterous fingers. They often dip snacks in water to wash them and feel textures!,#RaccoonClever #CuriousCreatures #BackyardWildlife #AnimalFacts #PawMagic,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
27,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011745_798.mp4,VIDEO,True,False,1080,1920,1080x1920,11.4,6079243,5936.8,Penguin Waddle on the Ice,Waddling helps penguins conserve energy on icy Antarctic paths! Their thick blubber and waterproof feathers keep them warm in freezing temps.,#PenguinWaddle #Antarctica #SnowLovers #BirdLife #LittleNetWinter,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
28,Member3Animals.zip,Member3Animals,Nature,VID_20260905_011716_668.mp4,VIDEO,True,False,1080,1920,1080x1920,14.9,5009502,4892.1,Baby Giraffe Finding Its Balance,"Baby giraffes can stand and walk within an hour after birth! Look at those long legs taking careful, clumsy, adorable strides.",#BabyGiraffe #TallFriends #SavannahBabies #CuteAnimals #NatureWonder,ALL,True,ALLOWED,0.99,0.01,Reels Feed,Verified kid-safe nature & animal content
29,Member3Animals.zip,Member3Animals,Nature,Did-you-Know-2-1024x1024.png,IMAGE,False,False,1024,1024,1024x1024,,281869,275.3,Did You Know? Animal Superpowers!,"Did you know? Frogs drink water through their skin, and honeybees can recognize human faces! Which animal superpower do you wish you had?",#AnimalTrivia #DidYouKnow #KidFacts #ScienceTrivia #LittleNetLearning,ALL,True,ALLOWED,0.99,0.01,Community Feed (Nature & Animals),Verified kid-safe nature & animal content
30,Member3Animals.zip,Member3Animals,Nature,Did-you-Know-1024x1024.png,IMAGE,False,False,1024,1024,1024x1024,,166196,162.3,Did You Know? Ocean Wonders,Did you know octopuses have three hearts and blue blood? Marine life is full of incredible science facts to share with your class!,#OceanFacts #OctopusMystery #MarineWonder #LittleNetScience #STEMKids,ALL,True,ALLOWED,0.99,0.01,Community Feed (Nature & Animals),Verified kid-safe nature & animal content
31,Member3Animals.zip,Member3Animals,Nature,Elephants-cant-jump-1024x724.jpg,IMAGE,False,False,1024,724,1024x724,,49906,48.7,Elephant Trivia: Why Elephants Can't Jump!,"Fun fact: Elephants are the only mammals that can't jump! With strong pillar-like legs supporting their huge weight, walking and swimming are their specialties.",#ElephantFacts #AmazingFauna #GentleGiants #STEMFun #LittleNetFacts,ALL,True,ALLOWED,0.99,0.01,Community Feed (Nature & Animals),Verified kid-safe nature & animal content
32,Member3Animals.zip,Member3Animals,Nature,Dolphin-Facts-1-1024x724.jpg,IMAGE,False,False,1024,724,1024x724,,46597,45.5,Dolphin Fun Facts for Young Explorers,Did you know dolphins sleep with one eye open and half their brain awake so they can still breathe at the surface? Smart ocean champions!,#DolphinIntelligence #SeaLifeFacts #OceanKids #MarineLife #FactCard,ALL,True,ALLOWED,0.99,0.01,Community Feed (Nature & Animals),Verified kid-safe nature & animal content
